"Treatment","variable","N","mean","sem"
"Amb","Salinity",12,34.0333333333333,0.187622014172165
"High","Salinity",12,34.075,0.179698822107065
"Amb","Temperature",12,26.4975,0.220914507665227
"High","Temperature",12,26.5391666666667,0.222593046031124
"Amb","pH",12,7.98536881947802,0.0233503450113943
"High","pH",12,7.69605376372334,0.0226844861610501
"Amb","CO2",12,12.4397980604254,0.841284835782498
"High","CO2",12,26.8934146831763,1.60652296438986
"Amb","pCO2",12,452.804048289826,29.4807515862749
"High","pCO2",12,982.180321770301,58.4125335307019
"Amb","fCO2",12,451.402845119737,29.3881061727339
"High","fCO2",12,979.145710834155,58.2328282094826
"Amb","HCO3",12,1700.22057847025,26.9913193173299
"High","HCO3",12,1904.02401136564,12.2780286650176
"Amb","CO3",12,185.510001629347,8.86456912409824
"High","CO3",12,107.271828589334,5.23191862674138
"Amb","DIC",12,1898.17037816003,19.8301275623181
"High","DIC",12,2038.18925463815,9.22732875016204
"Amb","TA",12,2163.11666666667,9.67791795582065
"High","TA",12,2170.69166666667,5.86453721253193
"Amb","Aragonite.Sat",12,2.98264708633863,0.143701073553278
"High","Aragonite.Sat",12,1.72382180710453,0.0829237794597661
